InvoiceNo,Date,CustomerID,CustomerType,ProductID,Quantity,MetalCost,TotalWeightGrams,InvoiceValue,Profit
INV0001134,2024-01-01,CUST0374,Retail,P006,3,2366.65,42.48,2887.24,365.5
INV0002502,2024-01-01,CUST0004,Retail,P017,1,3796.74,58.94,4887.9,569.12
INV0000018,2024-01-01,CUST0644,Wholesale,P012,8,129590.57,2326.08,149084.59,11264.03
INV0002446,2024-01-01,CUST0085,Retail,P008,5,21440.76,384.85,26605.94,3747.03
INV0002064,2024-01-01,CUST0295,Retail,P010,3,1950.48,35.01,2424.42,344.82
INV0000966,2024-01-01,CUST0124,Retail,P009,5,2292.55,41.15,2802.42,359.47
INV0000103,2024-01-01,CUST0058,Wholesale,P008,15,74617.87,1339.35,86039.19,6676.78
INV0000481,2024-01-01,CUST0542,Wholesale,P015,26,24117.72,374.4,29423.24,2277.94
INV0000702,2024-01-01,CUST0664,Retail,P002,5,26532.84,476.25,32050.23,3787.9
INV0001728,2024-01-01,CUST0330,Retail,P024,1,21901.78,340.0,29350.43,4403.6
INV0000132,2024-01-01,CUST0093,Retail,P006,5,2139.34,38.4,2663.77,382.66
INV0000491,2024-01-02,CUST0377,Retail,P010,3,525.95,9.45,649.25,88.61
INV0001336,2024-01-02,CUST0094,Retail,P015,5,2387.47,37.1,3090.54,398.18
INV0000866,2024-01-02,CUST0541,Wholesale,P014,20,107455.39,1669.8,126939.08,6115.45
INV0000688,2024-01-02,CUST0769,Retail,P007,2,12970.07,233.04,15535.3,1723.65
INV0002312,2024-01-02,CUST0070,Retail,P019,1,477.49,7.42,624.36,85.71
INV0002986,2024-01-02,CUST0465,Retail,P023,3,88939.31,1382.07,115248.53,14058.54
INV0001110,2024-01-02,CUST0538,Retail,P004,3,8428.54,151.44,10637.23,1561.73
INV0001256,2024-01-02,CUST0274,Retail,P010,3,818.14,14.7,1011.69,139.54
INV0001142,2024-01-02,CUST0391,Wholesale,P009,39,22986.48,413.01,26039.89,1605.38
INV0001810,2024-01-02,CUST0542,Wholesale,P003,18,97766.44,1756.62,111205.85,7267.41
INV0000384,2024-01-02,CUST0737,Wholesale,P019,39,24545.24,381.42,29685.5,2066.56
INV0002082,2024-01-03,CUST0767,Wholesale,P002,25,113434.44,2033.75,127409.0,6860.59
INV0000243,2024-01-03,CUST0103,Retail,P021,5,542549.88,8412.8,751270.07,132583.55
INV0000308,2024-01-03,CUST0595,Retail,P008,4,12980.19,232.72,16045.49,2208.55
INV0002210,2024-01-03,CUST0024,Retail,P021,3,148846.52,2308.02,190386.68,21110.27
INV0002827,2024-01-03,CUST0429,Retail,P017,2,8654.69,134.2,11602.66,1744.56
INV0002522,2024-01-03,CUST0330,Retail,P004,4,11159.66,200.08,14350.44,2326.42
INV0001617,2024-01-03,CUST0505,Retail,P024,1,27021.73,419.0,37137.3,6331.73
INV0000667,2024-01-03,CUST0390,Retail,P006,4,1019.59,18.28,1204.13,118.88
INV0002109,2024-01-04,CUST0435,Retail,P007,3,23393.37,407.55,29473.95,4520.32
INV0000825,2024-01-04,CUST0248,Retail,P013,1,24286.51,423.11,30520.02,4615.98
INV0000194,2024-01-04,CUST0658,Wholesale,P015,10,12145.48,183.0,14607.75,943.71
INV0002372,2024-01-04,CUST0305,Retail,P019,1,768.55,11.58,984.21,117.82
INV0001165,2024-01-04,CUST0674,Retail,P004,1,2869.43,49.99,3554.08,466.35
INV0000932,2024-01-04,CUST0304,Retail,P019,2,1730.9,26.08,2355.75,400.46
INV0000094,2024-01-04,CUST0469,Retail,P014,1,6662.1,100.38,8916.7,1395.3
INV0002528,2024-01-04,CUST0533,Wholesale,P023,30,571892.88,8616.9,683914.13,34912.13
INV0001342,2024-01-04,CUST0646,Retail,P010,4,1056.16,18.4,1282.3,157.11
INV0000731,2024-01-04,CUST0180,Retail,P004,1,2353.4,41.0,2897.29,365.36
INV0001844,2024-01-05,CUST0529,Retail,P014,3,20743.88,321.84,27478.14,4066.98
INV0001493,2024-01-05,CUST0075,Wholesale,P006,11,2078.69,37.29,2306.01,97.79
INV0002569,2024-01-05,CUST0073,Retail,P018,5,4247.52,65.9,5714.39,918.15
INV0001691,2024-01-05,CUST0614,Wholesale,P004,29,61995.69,1112.15,70345.78,3821.35
INV0002464,2024-01-05,CUST0761,Retail,P014,2,14594.96,226.44,19055.59,2592.06
INV0000180,2024-01-05,CUST0519,Retail,P004,4,7650.31,137.24,9859.27,1615.79
INV0002980,2024-01-05,CUST0735,Wholesale,P023,38,548803.9,8514.66,654154.59,31417.25
INV0001737,2024-01-05,CUST0668,Retail,P010,5,1187.35,21.3,1481.0,214.89
INV0000486,2024-01-05,CUST0449,Retail,P020,1,212874.8,3302.74,278192.27,35927.3
INV0002021,2024-01-05,CUST0714,Retail,P023,2,30925.03,479.8,40263.77,5073.51
INV0002467,2024-01-06,CUST0513,Wholesale,P009,11,3766.75,71.06,4274.03,269.79
INV0000533,2024-01-06,CUST0671,Retail,P024,2,41309.8,674.0,53457.05,6459.27
INV0001358,2024-01-06,CUST0216,Wholesale,P010,29,12712.91,239.83,14686.56,1164.5
INV0000157,2024-01-06,CUST0636,Wholesale,P015,41,31612.41,515.78,37450.21,1901.9
INV0002721,2024-01-06,CUST0110,Retail,P020,2,429319.11,7004.66,559621.79,71071.11
INV0002989,2024-01-06,CUST0668,Retail,P017,3,7400.83,120.75,10306.89,1865.78
INV0001211,2024-01-06,CUST0660,Retail,P010,5,2623.9,49.5,3355.52,555.17
INV0000836,2024-01-07,CUST0540,Wholesale,P010,31,10469.24,184.76,12049.04,914.78
INV0002178,2024-01-07,CUST0383,Retail,P015,2,909.39,13.88,1221.8,194.97
INV0000574,2024-01-07,CUST0206,Retail,P015,1,661.73,10.1,835.99,90.35
INV0002764,2024-01-07,CUST0293,Retail,P010,4,2320.96,40.96,2976.95,499.65
INV0001933,2024-01-07,CUST0310,Retail,P014,4,24734.26,377.52,32720.7,4807.33
INV0002786,2024-01-07,CUST0228,Retail,P006,2,430.65,7.6,546.66,87.17
INV0002121,2024-01-07,CUST0735,Wholesale,P018,17,15292.5,233.41,18100.53,904.51
INV0000671,2024-01-07,CUST0339,Retail,P004,4,12216.76,215.6,15012.43,1869.74
INV0001647,2024-01-07,CUST0194,Retail,P003,2,8345.47,147.28,10871.12,1958.66
INV0001992,2024-01-07,CUST0504,Wholesale,P004,18,50732.41,895.32,57828.24,3382.21
INV0001156,2024-01-07,CUST0166,Retail,P017,5,14161.66,216.15,19105.98,2971.67
INV0002834,2024-01-07,CUST0785,Retail,P007,5,25524.3,450.45,30827.07,3639.16
INV0001113,2024-01-07,CUST0445,Retail,P006,1,268.02,4.73,316.25,30.98
INV0001830,2024-01-07,CUST0524,Retail,P007,3,21900.07,386.49,28711.9,5318.56
INV0001079,2024-01-07,CUST0527,Retail,P006,2,751.36,13.26,979.29,176.87
INV0000403,2024-01-08,CUST0087,Retail,P012,2,36369.96,655.74,47402.48,8560.77
INV0001915,2024-01-08,CUST0500,Wholesale,P010,37,10158.23,183.15,11136.65,349.3
INV0002162,2024-01-08,CUST0672,Retail,P015,4,1911.08,29.8,2475.77,320.58
INV0000450,2024-01-08,CUST0137,Retail,P003,5,21802.9,393.1,26241.33,3020.03
INV0002793,2024-01-08,CUST0204,Retail,P014,5,39969.18,623.25,52701.81,7600.4
INV0002908,2024-01-08,CUST0778,Wholesale,P006,21,15374.62,277.2,17598.78,1250.33
INV0002513,2024-01-09,CUST0172,Retail,P010,1,486.22,8.75,623.22,104.26
INV0000460,2024-01-09,CUST0348,Retail,P003,2,7921.77,142.56,10037.74,1585.96
INV0000582,2024-01-09,CUST0672,Retail,P024,1,25790.15,401.4,33436.1,4093.06
INV0002022,2024-01-09,CUST0673,Retail,P014,1,6162.91,95.92,7721.67,779.2
INV0002063,2024-01-09,CUST0542,Wholesale,P018,36,20192.65,314.28,23848.87,1144.25
INV0000581,2024-01-09,CUST0596,Retail,P010,1,232.83,4.19,276.04,28.19
INV0001265,2024-01-09,CUST0138,Retail,P001,2,216641.85,3898.68,283522.45,52123.4
INV0000472,2024-01-09,CUST0719,Retail,P023,4,122389.49,1904.88,171456.44,31834.12
INV0002387,2024-01-09,CUST0023,Retail,P009,3,1755.39,31.59,2244.43,371.01
INV0000837,2024-01-09,CUST0040,Retail,P021,4,322072.34,5012.76,404830.9,38760.14
INV0000031,2024-01-10,CUST0329,Retail,P014,2,13153.19,202.3,16554.96,1735.8
INV0000138,2024-01-10,CUST0410,Retail,P016,4,15424.93,237.24,20547.67,3136.02
INV0002070,2024-01-10,CUST0501,Retail,P008,4,16361.26,290.96,20949.8,3487.51
INV0002100,2024-01-10,CUST0528,Retail,P009,5,3562.3,63.35,4613.39,809.85
INV0001934,2024-01-10,CUST0312,Retail,P014,1,4947.89,76.1,6587.25,1002.19
INV0002310,2024-01-10,CUST0751,Retail,P009,4,1225.86,21.8,1555.03,247.1
INV0000633,2024-01-10,CUST0290,Retail,P012,3,26124.26,464.58,31729.58,3897.43
INV0002728,2024-01-10,CUST0251,Retail,P006,4,2334.75,41.52,2918.2,428.41
INV0000595,2024-01-11,CUST0471,Retail,P020,1,346346.84,5305.03,442305.74,48441.53
INV0001945,2024-01-11,CUST0394,Retail,P018,2,1600.82,24.52,2189.35,380.69
INV0001340,2024-01-11,CUST0789,Retail,P002,1,4309.9,76.33,5051.3,464.97
INV0002262,2024-01-11,CUST0108,Retail,P014,1,6983.04,106.96,9467.67,1580.4
INV0001922,2024-01-11,CUST0471,Retail,P001,4,916196.16,16226.2,1160600.73,183114.79
INV0001395,2024-01-11,CUST0556,Retail,P008,3,12585.83,222.9,15580.65,2163.44
INV0001771,2024-01-11,CUST0149,Wholesale,P010,16,10497.79,185.92,11501.23,353.52
INV0001417,2024-01-11,CUST0184,Retail,P002,1,3857.62,68.32,5000.38,881.39
INV0002472,2024-01-11,CUST0164,Retail,P023,4,125974.22,1929.56,171539.75,27971.81
INV0002510,2024-01-12,CUST0068,Retail,P020,5,402465.39,5967.6,526809.64,68753.74
INV0002058,2024-01-12,CUST0134,Retail,P010,2,730.27,12.52,938.4,158.89
INV0000109,2024-01-12,CUST0023,Retail,P006,3,2203.05,37.77,2636.25,290.33
INV0002990,2024-01-12,CUST0483,Wholesale,P019,42,11500.17,170.52,13467.5,540.05
INV0002993,2024-01-12,CUST0180,Retail,P014,4,29490.93,437.28,36725.31,3510.53
INV0000066,2024-01-12,CUST0332,Retail,P013,3,67857.05,1163.37,81538.44,9270.77
INV0001697,2024-01-12,CUST0211,Wholesale,P002,30,148596.41,2547.6,172777.99,14691.32
INV0000270,2024-01-12,CUST0017,Wholesale,P007,37,149278.27,2559.29,166725.34,8112.64
INV0000369,2024-01-12,CUST0762,Retail,P005,5,8967.93,153.75,11045.9,1397.52
INV0000449,2024-01-12,CUST0528,Retail,P009,5,2315.62,39.7,2970.02,498.42
INV0000230,2024-01-12,CUST0257,Wholesale,P015,16,14437.93,214.08,17309.58,1068.08
INV0000038,2024-01-12,CUST0581,Wholesale,P003,42,193875.27,3323.88,224389.59,18162.44
INV0000376,2024-01-12,CUST0228,Retail,P008,2,11730.93,201.12,14393.7,1891.61
INV0000933,2024-01-13,CUST0692,Retail,P024,3,37541.58,566.52,49143.45,6416.35
INV0002841,2024-01-13,CUST0553,Retail,P009,4,1911.93,33.36,2275.09,239.54
INV0001323,2024-01-13,CUST0735,Wholesale,P019,42,25772.56,388.92,31054.14,2057.56
INV0002115,2024-01-13,CUST0470,Retail,P015,5,4678.45,70.6,6167.04,887.91
